,Crop,N,P,K
0,Rice,80,40,40
1,Jowar(Sorghum),80,40,40
2,Barley(JAV),70,40,45
3,Maize,80,40,20
4,Ragi( naachnnii),50,40,20
5,Chickpeas(Channa),40,60,80
6,French Beans(Farasbi),90,125,60
7,Fava beans (Papdi - Val),90,125,60
8,Lima beans(Pavta),40,60,20
9,Cluster Beans(Gavar),25,50,25
10,Soyabean,20,60,20
11,Black eyed beans( chawli),20,60,20
12,Kidney beans,20,60,20
13,pigeon peas(Toor Dal),20,60,20
14,Moth bean(Matki),20,40,20
15,Mung beans,20,40,20
16,Green Peas,40,35,55
17,Horse Gram(kulthi),20,60,20
18,Black Gram,40,60,20
19,Rapeseed (Mohri),50,40,20
20,Coriander seeds,90,20,20
21,Mustard seeds,100,30,15
22,sesame seed,30,15,30
23,Cumin seeds,90,60,20
24,Lentils(Masoor Dal),20,60,20
25,Brinjal,80,15,40
26,Beetroot,120,50,100
27,Bitter Gourd,60,10,20
28,Bottle Gourd,100,50,50
29,Capsicum,100,20,60
30,Cabbage,100,65,70
31,Carrot,40,45,60
32,Cauliflower,80,70,50
33,Cucumber,60,60,85
34,Coriander leaves,10,20,20
35,Curry leaves,20,20,20
36,Drumstick – moringa,40,20,10
37,Chili,120,20,80
38,Lady Finger,80,10,40
39,Mushroom,100,50,60
40,Onion,120,60,65
41,Potato,180,60,90
42,Pumpkin,80,50,30
43,Radish,25,100,50
44,Olive,100,60,30
45,Sweet Potato,90,20,120
46,Fenugreek Leaf(methi),30,25,40
47,Spinach,60,60,50
48,Ridgegourd,90,50,20
49,Gooseberry(Amla),20,50,20
50,Jambun(Syzygium cumini),10,10,10
51,Ziziphus mauritiana(Bor),20,10,10
52,Garcinia indica(kokam),40,25,50
53,Tamarind,20,15,25
54,Tapioca(Suran),50,50,50
55,Garlic,50,10,60
56,Lemon,20,10,10
57,Tomato,100,40,90
58,Ash Gourd,60,10,30
59,Pineapple,160,40,120
60,Pomegranate,20,10,40
61,Banana,100,75,50
62,Mango,20,20,30
63,Grapes,20,125,200
64,Jackfruit,75,40,50
65,Guava,50,50,50
66,Water Melon,100,10,50
67,Musk Melon,100,10,50
68,Apricot,40,50,25
69,Apple,20,125,200
70,Chickoo,40,30,60
71,Custard apple,40,20,40
72,Dates,40,125,20
73,Figs,20,60,20
74,Orange,20,10,10
75,Papaya,50,50,50
76,Aniseed,100,50,20
77,Asafoetida,90,40,20
78,Bay Leaf,100,50,25
79,Black Pepper,100,60,50
80,Cardamom,75,75,150
81,Cinnamon,20,20,25
82,Cloves,20,20,60
83,Jaiphal(Nutmeg),20,20,60
84,Ginger,40,50,20
85,Turmeric,25,60,100
86,Cashewnuts,70,40,60
87,Raisins,60,30,30
88,Coconut,20,10,30
89,Almond Nut,70,20,10
90,Arecanut,100,40,140
91,Pistachio Nut,90,20,20
92,Lemon Grass,25,40,40
93,Cotton,120,40,20
94,Jute,80,40,40
95,Coffee,100,20,30
96,Sunflower,50,60,30
97,Rice,80,40,40
98,Jowar(Sorghum),80,40,40
99,Barley(JAV),70,40,45
100,Maize,80,40,20
101,Ragi( naachnnii),50,40,20
102,Chickpeas(Channa),40,60,80
103,French Beans(Farasbi),90,125,60
104,Fava beans (Papdi - Val),90,125,60
105,Lima beans(Pavta),40,60,20
106,Cluster Beans(Gavar),25,50,25
107,Soyabean,20,60,20
108,Black eyed beans( chawli),20,60,20
109,Kidney beans,20,60,20
110,pigeon peas(Toor Dal),20,60,20
111,Moth bean(Matki),20,40,20
112,Mung beans,20,40,20
113,Green Peas,40,35,55
114,Horse Gram(kulthi),20,60,20
115,Black Gram,40,60,20
116,Rapeseed (Mohri),50,40,20
117,Coriander seeds,90,20,20
118,Mustard seeds,100,30,15
119,sesame seed,30,15,30
120,Cumin seeds,90,60,20
121,Lentils(Masoor Dal),20,60,20
122,Brinjal,80,15,40
123,Beetroot,120,50,100
124,Bitter Gourd,60,10,20
125,Bottle Gourd,100,50,50
126,Capsicum,100,20,60
127,Cabbage,100,65,70
128,Carrot,40,45,60
129,Cauliflower,80,70,50
130,Cucumber,60,60,85
131,Coriander leaves,10,20,20
132,Curry leaves,20,20,20
133,Drumstick – moringa,40,20,10
134,Chili,120,20,80
135,Lady Finger,80,10,40
136,Mushroom,100,50,60
137,Onion,120,60,65
138,Potato,180,60,90
139,Pumpkin,80,50,30
140,Radish,25,100,50
141,Olive,100,60,30
142,Sweet Potato,90,20,120
143,Fenugreek Leaf(methi),30,25,40
144,Spinach,60,60,50
145,Ridgegourd,90,50,20
146,Gooseberry(Amla),20,50,20
147,Jambun(Syzygium cumini),10,10,10
148,Ziziphus mauritiana(Bor),20,10,10
149,Garcinia indica(kokam),40,25,50
150,Tamarind,20,15,25
151,Tapioca(Suran),50,50,50
152,Garlic,50,10,60
153,Lemon,20,10,10
154,Tomato,100,40,90
155,Ash Gourd,60,10,30
156,Pineapple,160,40,120
157,Pomegranate,20,10,40
158,Banana,100,75,50
159,Mango,20,20,30
160,Grapes,20,125,200
161,Jackfruit,75,40,50
162,Guava,50,50,50
163,Water Melon,100,10,50
164,Musk Melon,100,10,50
165,Apricot,40,50,25
166,Apple,20,125,200
167,Chickoo,40,30,60
168,Custard apple,40,20,40
169,Dates,40,125,20
170,Figs,20,60,20
171,Orange,20,10,10
172,Papaya,50,50,50
173,Aniseed,100,50,20
174,Asafoetida,90,40,20
175,Bay Leaf,100,50,25
176,Black Pepper,100,60,50
177,Cardamom,75,75,150
178,Cinnamon,20,20,25
179,Cloves,20,20,60
180,Jaiphal(Nutmeg),20,20,60
181,Ginger,40,50,20
182,Turmeric,25,60,100
183,Cashewnuts,70,40,60
184,Raisins,60,30,30
185,Coconut,20,10,30
186,Almond Nut,70,20,10
187,Arecanut,100,40,140
188,Pistachio Nut,90,20,20
189,Lemon Grass,25,40,40
190,Cotton,120,40,20
191,Jute,80,40,40
192,Coffee,100,20,30
193,Sunflower,50,60,30
194,Rice,80,40,40
195,Jowar(Sorghum),80,40,40
196,Barley(JAV),70,40,45
197,Maize,80,40,20
198,Ragi( naachnnii),50,40,20
199,Chickpeas(Channa),40,60,80
200,French Beans(Farasbi),90,125,60
201,Fava beans (Papdi - Val),90,125,60
202,Lima beans(Pavta),40,60,20
203,Cluster Beans(Gavar),25,50,25
204,Soyabean,20,60,20
205,Black eyed beans( chawli),20,60,20
206,Kidney beans,20,60,20
207,pigeon peas(Toor Dal),20,60,20
208,Moth bean(Matki),20,40,20
209,Mung beans,20,40,20
210,Green Peas,40,35,55
211,Horse Gram(kulthi),20,60,20
212,Black Gram,40,60,20
213,Rapeseed (Mohri),50,40,20
214,Coriander seeds,90,20,20
215,Mustard seeds,100,30,15
216,sesame seed,30,15,30
217,Cumin seeds,90,60,20
218,Lentils(Masoor Dal),20,60,20
219,Brinjal,80,15,40
220,Beetroot,120,50,100
221,Bitter Gourd,60,10,20
222,Bottle Gourd,100,50,50
223,Capsicum,100,20,60
224,Cabbage,100,65,70
225,Carrot,40,45,60
226,Cauliflower,80,70,50
227,Cucumber,60,60,85
228,Coriander leaves,10,20,20
229,Curry leaves,20,20,20
230,Drumstick – moringa,40,20,10
231,Chili,120,20,80
232,Lady Finger,80,10,40
233,Mushroom,100,50,60
234,Onion,120,60,65
235,Potato,180,60,90
236,Pumpkin,80,50,30
237,Radish,25,100,50
238,Olive,100,60,30
239,Sweet Potato,90,20,120
240,Fenugreek Leaf(methi),30,25,40
241,Spinach,60,60,50
242,Ridgegourd,90,50,20
243,Gooseberry(Amla),20,50,20
244,Jambun(Syzygium cumini),10,10,10
245,Ziziphus mauritiana(Bor),20,10,10
246,Garcinia indica(kokam),40,25,50
247,Tamarind,20,15,25
248,Tapioca(Suran),50,50,50
249,Garlic,50,10,60
250,Lemon,20,10,10
251,Tomato,100,40,90
252,Ash Gourd,60,10,30
253,Pineapple,160,40,120
254,Pomegranate,20,10,40
255,Banana,100,75,50
256,Mango,20,20,30
257,Grapes,20,125,200
258,Jackfruit,75,40,50
259,Guava,50,50,50
260,Water Melon,100,10,50
261,Musk Melon,100,10,50
262,Apricot,40,50,25
263,Apple,20,125,200
264,Chickoo,40,30,60
265,Custard apple,40,20,40
266,Dates,40,125,20
267,Figs,20,60,20
268,Orange,20,10,10
269,Papaya,50,50,50
270,Aniseed,100,50,20
271,Asafoetida,90,40,20
272,Bay Leaf,100,50,25
273,Black Pepper,100,60,50
274,Cardamom,75,75,150
275,Cinnamon,20,20,25
276,Cloves,20,20,60
277,Jaiphal(Nutmeg),20,20,60
278,Ginger,40,50,20
279,Turmeric,25,60,100
280,Cashewnuts,70,40,60
281,Raisins,60,30,30
282,Coconut,20,10,30
283,Almond Nut,70,20,10
284,Arecanut,100,40,140
285,Pistachio Nut,90,20,20
286,Lemon Grass,25,40,40
287,Cotton,120,40,20
288,Jute,80,40,40
289,Coffee,100,20,30
290,Sunflower,50,60,30
291,Rice,80,40,40
292,Jowar(Sorghum),80,40,40
293,Barley(JAV),70,40,45
294,Maize,80,40,20
295,Ragi( naachnnii),50,40,20
296,Chickpeas(Channa),40,60,80
297,French Beans(Farasbi),90,125,60
298,Fava beans (Papdi - Val),90,125,60
299,Lima beans(Pavta),40,60,20
300,Cluster Beans(Gavar),25,50,25
301,Soyabean,20,60,20
302,Black eyed beans( chawli),20,60,20
303,Kidney beans,20,60,20
304,pigeon peas(Toor Dal),20,60,20
305,Moth bean(Matki),20,40,20
306,Mung beans,20,40,20
307,Green Peas,40,35,55
308,Horse Gram(kulthi),20,60,20
309,Black Gram,40,60,20
310,Rapeseed (Mohri),50,40,20
311,Coriander seeds,90,20,20
312,Mustard seeds,100,30,15
313,sesame seed,30,15,30
314,Cumin seeds,90,60,20
315,Lentils(Masoor Dal),20,60,20
316,Brinjal,80,15,40
317,Beetroot,120,50,100
318,Bitter Gourd,60,10,20
319,Bottle Gourd,100,50,50
320,Capsicum,100,20,60
321,Cabbage,100,65,70
322,Carrot,40,45,60
323,Cauliflower,80,70,50
324,Cucumber,60,60,85
325,Coriander leaves,10,20,20
326,Curry leaves,20,20,20
327,Drumstick – moringa,40,20,10
328,Chili,120,20,80
329,Lady Finger,80,10,40
330,Mushroom,100,50,60
331,Onion,120,60,65
332,Potato,180,60,90
333,Pumpkin,80,50,30
334,Radish,25,100,50
335,Olive,100,60,30
336,Sweet Potato,90,20,120
337,Fenugreek Leaf(methi),30,25,40
338,Spinach,60,60,50
339,Ridgegourd,90,50,20
340,Gooseberry(Amla),20,50,20
341,Jambun(Syzygium cumini),10,10,10
342,Ziziphus mauritiana(Bor),20,10,10
343,Garcinia indica(kokam),40,25,50
344,Tamarind,20,15,25
345,Tapioca(Suran),50,50,50
346,Garlic,50,10,60
347,Lemon,20,10,10
348,Tomato,100,40,90
349,Ash Gourd,60,10,30
350,Pineapple,160,40,120
351,Pomegranate,20,10,40
352,Banana,100,75,50
353,Mango,20,20,30
354,Grapes,20,125,200
355,Jackfruit,75,40,50
356,Guava,50,50,50
357,Water Melon,100,10,50
358,Musk Melon,100,10,50
359,Apricot,40,50,25
360,Apple,20,125,200
361,Chickoo,40,30,60
362,Custard apple,40,20,40
363,Dates,40,125,20
364,Figs,20,60,20
365,Orange,20,10,10
366,Papaya,50,50,50
367,Aniseed,100,50,20
368,Asafoetida,90,40,20
369,Bay Leaf,100,50,25
370,Black Pepper,100,60,50
371,Cardamom,75,75,150
372,Cinnamon,20,20,25
373,Cloves,20,20,60
374,Jaiphal(Nutmeg),20,20,60
375,Ginger,40,50,20
376,Turmeric,25,60,100
377,Cashewnuts,70,40,60
378,Raisins,60,30,30
379,Coconut,20,10,30
380,Almond Nut,70,20,10
381,Arecanut,100,40,140
382,Pistachio Nut,90,20,20
383,Lemon Grass,25,40,40
384,Cotton,120,40,20
385,Jute,80,40,40
386,Coffee,100,20,30
387,Sunflower,50,60,30
388,Rice,80,40,40
389,Jowar(Sorghum),80,40,40
390,Barley(JAV),70,40,45
391,Maize,80,40,20
392,Ragi( naachnnii),50,40,20
393,Chickpeas(Channa),40,60,80
394,French Beans(Farasbi),90,125,60
395,Fava beans (Papdi - Val),90,125,60
396,Lima beans(Pavta),40,60,20
397,Cluster Beans(Gavar),25,50,25
398,Soyabean,20,60,20
399,Black eyed beans( chawli),20,60,20
400,Kidney beans,20,60,20
401,pigeon peas(Toor Dal),20,60,20
402,Moth bean(Matki),20,40,20
403,Mung beans,20,40,20
404,Green Peas,40,35,55
405,Horse Gram(kulthi),20,60,20
406,Black Gram,40,60,20
407,Rapeseed (Mohri),50,40,20
408,Coriander seeds,90,20,20
409,Mustard seeds,100,30,15
410,sesame seed,30,15,30
411,Cumin seeds,90,60,20
412,Lentils(Masoor Dal),20,60,20
413,Brinjal,80,15,40
414,Beetroot,120,50,100
415,Bitter Gourd,60,10,20
416,Bottle Gourd,100,50,50
417,Capsicum,100,20,60
418,Cabbage,100,65,70
419,Carrot,40,45,60
420,Cauliflower,80,70,50
421,Cucumber,60,60,85
422,Coriander leaves,10,20,20
423,Curry leaves,20,20,20
424,Drumstick – moringa,40,20,10
425,Chili,120,20,80
426,Lady Finger,80,10,40
427,Mushroom,100,50,60
428,Onion,120,60,65
429,Potato,180,60,90
430,Pumpkin,80,50,30
431,Radish,25,100,50
432,Olive,100,60,30
433,Sweet Potato,90,20,120
434,Fenugreek Leaf(methi),30,25,40
435,Spinach,60,60,50
436,Ridgegourd,90,50,20
437,Gooseberry(Amla),20,50,20
438,Jambun(Syzygium cumini),10,10,10
439,Ziziphus mauritiana(Bor),20,10,10
440,Garcinia indica(kokam),40,25,50
441,Tamarind,20,15,25
442,Tapioca(Suran),50,50,50
443,Garlic,50,10,60
444,Lemon,20,10,10
445,Tomato,100,40,90
446,Ash Gourd,60,10,30
447,Pineapple,160,40,120
448,Pomegranate,20,10,40
449,Banana,100,75,50
450,Mango,20,20,30
451,Grapes,20,125,200
452,Jackfruit,75,40,50
453,Guava,50,50,50
454,Water Melon,100,10,50
455,Musk Melon,100,10,50
456,Apricot,40,50,25
457,Apple,20,125,200
458,Chickoo,40,30,60
459,Custard apple,40,20,40
460,Dates,40,125,20
461,Figs,20,60,20
462,Orange,20,10,10
463,Papaya,50,50,50
464,Aniseed,100,50,20
465,Asafoetida,90,40,20
466,Bay Leaf,100,50,25
467,Black Pepper,100,60,50
468,Cardamom,75,75,150
469,Cinnamon,20,20,25
470,Cloves,20,20,60
471,Jaiphal(Nutmeg),20,20,60
472,Ginger,40,50,20
473,Turmeric,25,60,100
474,Cashewnuts,70,40,60
475,Raisins,60,30,30
476,Coconut,20,10,30
477,Almond Nut,70,20,10
478,Arecanut,100,40,140
479,Pistachio Nut,90,20,20
480,Lemon Grass,25,40,40
481,Cotton,120,40,20
482,Jute,80,40,40
483,Coffee,100,20,30
484,Sunflower,50,60,30
485,Rice,80,40,40
486,Jowar(Sorghum),80,40,40
487,Barley(JAV),70,40,45
488,Maize,80,40,20
489,Ragi( naachnnii),50,40,20
490,Chickpeas(Channa),40,60,80
491,French Beans(Farasbi),90,125,60
492,Fava beans (Papdi - Val),90,125,60
493,Lima beans(Pavta),40,60,20
494,Cluster Beans(Gavar),25,50,25
495,Soyabean,20,60,20
496,Black eyed beans( chawli),20,60,20
497,Kidney beans,20,60,20
498,pigeon peas(Toor Dal),20,60,20
499,Moth bean(Matki),20,40,20
500,Mung beans,20,40,20
501,Green Peas,40,35,55
502,Horse Gram(kulthi),20,60,20
503,Black Gram,40,60,20
504,Rapeseed (Mohri),50,40,20
505,Coriander seeds,90,20,20
506,Mustard seeds,100,30,15
507,sesame seed,30,15,30
508,Cumin seeds,90,60,20
509,Lentils(Masoor Dal),20,60,20
510,Brinjal,80,15,40
511,Beetroot,120,50,100
512,Bitter Gourd,60,10,20
513,Bottle Gourd,100,50,50
514,Capsicum,100,20,60
515,Cabbage,100,65,70
516,Carrot,40,45,60
517,Cauliflower,80,70,50
518,Cucumber,60,60,85
519,Coriander leaves,10,20,20
520,Curry leaves,20,20,20
521,Drumstick – moringa,40,20,10
522,Chili,120,20,80
523,Lady Finger,80,10,40
524,Mushroom,100,50,60
525,Onion,120,60,65
526,Potato,180,60,90
527,Pumpkin,80,50,30
528,Radish,25,100,50
529,Olive,100,60,30
530,Sweet Potato,90,20,120
531,Fenugreek Leaf(methi),30,25,40
532,Spinach,60,60,50
533,Ridgegourd,90,50,20
534,Gooseberry(Amla),20,50,20
535,Jambun(Syzygium cumini),10,10,10
536,Ziziphus mauritiana(Bor),20,10,10
537,Garcinia indica(kokam),40,25,50
538,Tamarind,20,15,25
539,Tapioca(Suran),50,50,50
540,Garlic,50,10,60
541,Lemon,20,10,10
542,Tomato,100,40,90
543,Ash Gourd,60,10,30
544,Pineapple,160,40,120
545,Pomegranate,20,10,40
546,Banana,100,75,50
547,Mango,20,20,30
548,Grapes,20,125,200
549,Jackfruit,75,40,50
550,Guava,50,50,50
551,Water Melon,100,10,50
552,Musk Melon,100,10,50
553,Apricot,40,50,25
554,Apple,20,125,200
555,Chickoo,40,30,60
556,Custard apple,40,20,40
557,Dates,40,125,20
558,Figs,20,60,20
559,Orange,20,10,10
560,Papaya,50,50,50
561,Aniseed,100,50,20
562,Asafoetida,90,40,20
563,Bay Leaf,100,50,25
564,Black Pepper,100,60,50
565,Cardamom,75,75,150
566,Cinnamon,20,20,25
567,Cloves,20,20,60
568,Jaiphal(Nutmeg),20,20,60
569,Ginger,40,50,20
570,Turmeric,25,60,100
571,Cashewnuts,70,40,60
572,Raisins,60,30,30
573,Coconut,20,10,30
574,Almond Nut,70,20,10
575,Arecanut,100,40,140
576,Pistachio Nut,90,20,20
577,Lemon Grass,25,40,40
578,Cotton,120,40,20
579,Jute,80,40,40
580,Coffee,100,20,30
581,Sunflower,50,60,30
582,Rice,80,40,40
583,Jowar(Sorghum),80,40,40
584,Barley(JAV),70,40,45
585,Maize,80,40,20
586,Ragi( naachnnii),50,40,20
587,Chickpeas(Channa),40,60,80
588,French Beans(Farasbi),90,125,60
589,Fava beans (Papdi - Val),90,125,60
590,Lima beans(Pavta),40,60,20
591,Cluster Beans(Gavar),25,50,25
592,Soyabean,20,60,20
593,Black eyed beans( chawli),20,60,20
594,Kidney beans,20,60,20
595,pigeon peas(Toor Dal),20,60,20
596,Moth bean(Matki),20,40,20
597,Mung beans,20,40,20
598,Green Peas,40,35,55
599,Horse Gram(kulthi),20,60,20
600,Black Gram,40,60,20
601,Rapeseed (Mohri),50,40,20
602,Coriander seeds,90,20,20
603,Mustard seeds,100,30,15
604,sesame seed,30,15,30
605,Cumin seeds,90,60,20
606,Lentils(Masoor Dal),20,60,20
607,Brinjal,80,15,40
608,Beetroot,120,50,100
609,Bitter Gourd,60,10,20
610,Bottle Gourd,100,50,50
611,Capsicum,100,20,60
612,Cabbage,100,65,70
613,Carrot,40,45,60
614,Cauliflower,80,70,50
615,Cucumber,60,60,85
616,Coriander leaves,10,20,20
617,Curry leaves,20,20,20
618,Drumstick – moringa,40,20,10
619,Chili,120,20,80
620,Lady Finger,80,10,40
621,Mushroom,100,50,60
622,Onion,120,60,65
623,Potato,180,60,90
624,Pumpkin,80,50,30
