,Crop,N,P,K
1241,Asafoetida,90,40,20
1242,Bay Leaf,100,50,25
1243,Black Pepper,100,60,50
1244,Cardamom,75,75,150
1245,Cinnamon,20,20,25
1246,Cloves,20,20,60
1247,Jaiphal(Nutmeg),20,20,60
1248,Ginger,40,50,20
1249,Turmeric,25,60,100
1250,Cashewnuts,70,40,60
1251,Raisins,60,30,30
1252,Coconut,20,10,30
1253,Almond Nut,70,20,10
1254,Arecanut,100,40,140
1255,Pistachio Nut,90,20,20
1256,Lemon Grass,25,40,40
1257,Cotton,120,40,20
1258,Jute,80,40,40
1259,Coffee,100,20,30
1260,Sunflower,50,60,30
1261,Rice,80,40,40
1262,Jowar(Sorghum),80,40,40
1263,Barley(JAV),70,40,45
1264,Maize,80,40,20
1265,Ragi( naachnnii),50,40,20
1266,Chickpeas(Channa),40,60,80
1267,French Beans(Farasbi),90,125,60
1268,Fava beans (Papdi - Val),90,125,60
1269,Lima beans(Pavta),40,60,20
1270,Cluster Beans(Gavar),25,50,25
1271,Soyabean,20,60,20
1272,Black eyed beans( chawli),20,60,20
1273,Kidney beans,20,60,20
1274,pigeon peas(Toor Dal),20,60,20
1275,Moth bean(Matki),20,40,20
1276,Mung beans,20,40,20
1277,Green Peas,40,35,55
1278,Horse Gram(kulthi),20,60,20
1279,Black Gram,40,60,20
1280,Rapeseed (Mohri),50,40,20
1281,Coriander seeds,90,20,20
1282,Mustard seeds,100,30,15
1283,sesame seed,30,15,30
1284,Cumin seeds,90,60,20
1285,Lentils(Masoor Dal),20,60,20
1286,Brinjal,80,15,40
1287,Beetroot,120,50,100
1288,Bitter Gourd,60,10,20
1289,Bottle Gourd,100,50,50
1290,Capsicum,100,20,60
1291,Cabbage,100,65,70
1292,Carrot,40,45,60
1293,Cauliflower,80,70,50
1294,Cucumber,60,60,85
1295,Coriander leaves,10,20,20
1296,Curry leaves,20,20,20
1297,Drumstick – moringa,40,20,10
1298,Chili,120,20,80
1299,Lady Finger,80,10,40
1300,Mushroom,100,50,60
1301,Onion,120,60,65
1302,Potato,180,60,90
1303,Pumpkin,80,50,30
1304,Radish,25,100,50
1305,Olive,100,60,30
1306,Sweet Potato,90,20,120
1307,Fenugreek Leaf(methi),30,25,40
1308,Spinach,60,60,50
1309,Ridgegourd,90,50,20
1310,Gooseberry(Amla),20,50,20
1311,Jambun(Syzygium cumini),10,10,10
1312,Ziziphus mauritiana(Bor),20,10,10
1313,Garcinia indica(kokam),40,25,50
1314,Tamarind,20,15,25
1315,Tapioca(Suran),50,50,50
1316,Garlic,50,10,60
1317,Lemon,20,10,10
1318,Tomato,100,40,90
1319,Ash Gourd,60,10,30
1320,Pineapple,160,40,120
1321,Pomegranate,20,10,40
1322,Banana,100,75,50
1323,Mango,20,20,30
1324,Grapes,20,125,200
1325,Jackfruit,75,40,50
1326,Guava,50,50,50
1327,Water Melon,100,10,50
1328,Musk Melon,100,10,50
1329,Apricot,40,50,25
1330,Apple,20,125,200
1331,Chickoo,40,30,60
1332,Custard apple,40,20,40
1333,Dates,40,125,20
1334,Figs,20,60,20
1335,Orange,20,10,10
1336,Papaya,50,50,50
1337,Aniseed,100,50,20
1338,Asafoetida,90,40,20
1339,Bay Leaf,100,50,25
1340,Black Pepper,100,60,50
1341,Cardamom,75,75,150
1342,Cinnamon,20,20,25
1343,Cloves,20,20,60
1344,Jaiphal(Nutmeg),20,20,60
1345,Ginger,40,50,20
1346,Turmeric,25,60,100
1347,Cashewnuts,70,40,60
1348,Raisins,60,30,30
1349,Coconut,20,10,30
1350,Almond Nut,70,20,10
1351,Arecanut,100,40,140
1352,Pistachio Nut,90,20,20
1353,Lemon Grass,25,40,40
1354,Cotton,120,40,20
1355,Jute,80,40,40
1356,Coffee,100,20,30
1357,Sunflower,50,60,30
1358,Rice,80,40,40
1359,Jowar(Sorghum),80,40,40
1360,Barley(JAV),70,40,45
1361,Maize,80,40,20
1362,Ragi( naachnnii),50,40,20
1363,Chickpeas(Channa),40,60,80
1364,French Beans(Farasbi),90,125,60
1365,Fava beans (Papdi - Val),90,125,60
1366,Lima beans(Pavta),40,60,20
1367,Cluster Beans(Gavar),25,50,25
1368,Soyabean,20,60,20
1369,Black eyed beans( chawli),20,60,20
1370,Kidney beans,20,60,20
1371,pigeon peas(Toor Dal),20,60,20
1372,Moth bean(Matki),20,40,20
1373,Mung beans,20,40,20
1374,Green Peas,40,35,55
1375,Horse Gram(kulthi),20,60,20
1376,Black Gram,40,60,20
1377,Rapeseed (Mohri),50,40,20
1378,Coriander seeds,90,20,20
1379,Mustard seeds,100,30,15
1380,sesame seed,30,15,30
1381,Cumin seeds,90,60,20
1382,Lentils(Masoor Dal),20,60,20
1383,Brinjal,80,15,40
1384,Beetroot,120,50,100
1385,Bitter Gourd,60,10,20
1386,Bottle Gourd,100,50,50
1387,Capsicum,100,20,60
1388,Cabbage,100,65,70
1389,Carrot,40,45,60
1390,Cauliflower,80,70,50
1391,Cucumber,60,60,85
1392,Coriander leaves,10,20,20
1393,Curry leaves,20,20,20
1394,Drumstick – moringa,40,20,10
1395,Chili,120,20,80
1396,Lady Finger,80,10,40
1397,Mushroom,100,50,60
1398,Onion,120,60,65
1399,Potato,180,60,90
1400,Pumpkin,80,50,30
1401,Radish,25,100,50
1402,Olive,100,60,30
1403,Sweet Potato,90,20,120
1404,Fenugreek Leaf(methi),30,25,40
1405,Spinach,60,60,50
1406,Ridgegourd,90,50,20
1407,Gooseberry(Amla),20,50,20
1408,Jambun(Syzygium cumini),10,10,10
1409,Ziziphus mauritiana(Bor),20,10,10
1410,Garcinia indica(kokam),40,25,50
1411,Tamarind,20,15,25
1412,Tapioca(Suran),50,50,50
1413,Garlic,50,10,60
1414,Lemon,20,10,10
1415,Tomato,100,40,90
1416,Ash Gourd,60,10,30
1417,Pineapple,160,40,120
1418,Pomegranate,20,10,40
1419,Banana,100,75,50
1420,Mango,20,20,30
1421,Grapes,20,125,200
1422,Jackfruit,75,40,50
1423,Guava,50,50,50
1424,Water Melon,100,10,50
1425,Musk Melon,100,10,50
1426,Apricot,40,50,25
1427,Apple,20,125,200
1428,Chickoo,40,30,60
1429,Custard apple,40,20,40
1430,Dates,40,125,20
1431,Figs,20,60,20
1432,Orange,20,10,10
1433,Papaya,50,50,50
1434,Aniseed,100,50,20
1435,Asafoetida,90,40,20
1436,Bay Leaf,100,50,25
1437,Black Pepper,100,60,50
1438,Cardamom,75,75,150
1439,Cinnamon,20,20,25
1440,Cloves,20,20,60
1441,Jaiphal(Nutmeg),20,20,60
1442,Ginger,40,50,20
1443,Turmeric,25,60,100
1444,Cashewnuts,70,40,60
1445,Raisins,60,30,30
1446,Coconut,20,10,30
1447,Almond Nut,70,20,10
1448,Arecanut,100,40,140
1449,Pistachio Nut,90,20,20
1450,Lemon Grass,25,40,40
1451,Cotton,120,40,20
1452,Jute,80,40,40
1453,Coffee,100,20,30
1454,Sunflower,50,60,30
1455,Rice,80,40,40
1456,Jowar(Sorghum),80,40,40
1457,Barley(JAV),70,40,45
1458,Maize,80,40,20
1459,Ragi( naachnnii),50,40,20
1460,Chickpeas(Channa),40,60,80
1461,French Beans(Farasbi),90,125,60
1462,Fava beans (Papdi - Val),90,125,60
1463,Lima beans(Pavta),40,60,20
1464,Cluster Beans(Gavar),25,50,25
1465,Soyabean,20,60,20
1466,Black eyed beans( chawli),20,60,20
1467,Kidney beans,20,60,20
1468,pigeon peas(Toor Dal),20,60,20
1469,Moth bean(Matki),20,40,20
1470,Mung beans,20,40,20
1471,Green Peas,40,35,55
1472,Horse Gram(kulthi),20,60,20
1473,Black Gram,40,60,20
1474,Rapeseed (Mohri),50,40,20
1475,Coriander seeds,90,20,20
1476,Mustard seeds,100,30,15
1477,sesame seed,30,15,30
1478,Cumin seeds,90,60,20
1479,Lentils(Masoor Dal),20,60,20
1480,Brinjal,80,15,40
1481,Beetroot,120,50,100
1482,Bitter Gourd,60,10,20
1483,Bottle Gourd,100,50,50
1484,Capsicum,100,20,60
1485,Cabbage,100,65,70
1486,Carrot,40,45,60
1487,Cauliflower,80,70,50
1488,Cucumber,60,60,85
1489,Coriander leaves,10,20,20
1490,Curry leaves,20,20,20
1491,Drumstick – moringa,40,20,10
1492,Chili,120,20,80
1493,Lady Finger,80,10,40
1494,Mushroom,100,50,60
1495,Onion,120,60,65
1496,Potato,180,60,90
1497,Pumpkin,80,50,30
1498,Radish,25,100,50
1499,Olive,100,60,30
1500,Sweet Potato,90,20,120
1501,Fenugreek Leaf(methi),30,25,40
1502,Spinach,60,60,50
1503,Ridgegourd,90,50,20
1504,Gooseberry(Amla),20,50,20
1505,Jambun(Syzygium cumini),10,10,10
1506,Ziziphus mauritiana(Bor),20,10,10
1507,Garcinia indica(kokam),40,25,50
1508,Tamarind,20,15,25
1509,Tapioca(Suran),50,50,50
1510,Garlic,50,10,60
1511,Lemon,20,10,10
1512,Tomato,100,40,90
1513,Ash Gourd,60,10,30
1514,Pineapple,160,40,120
1515,Pomegranate,20,10,40
1516,Banana,100,75,50
1517,Mango,20,20,30
1518,Grapes,20,125,200
1519,Jackfruit,75,40,50
1520,Guava,50,50,50
1521,Water Melon,100,10,50
1522,Musk Melon,100,10,50
1523,Apricot,40,50,25
1524,Apple,20,125,200
1525,Chickoo,40,30,60
1526,Custard apple,40,20,40
1527,Dates,40,125,20
1528,Figs,20,60,20
1529,Orange,20,10,10
1530,Papaya,50,50,50
1531,Aniseed,100,50,20
1532,Asafoetida,90,40,20
1533,Bay Leaf,100,50,25
1534,Black Pepper,100,60,50
1535,Cardamom,75,75,150
1536,Cinnamon,20,20,25
1537,Cloves,20,20,60
1538,Jaiphal(Nutmeg),20,20,60
1539,Ginger,40,50,20
1540,Turmeric,25,60,100
1541,Cashewnuts,70,40,60
1542,Raisins,60,30,30
1543,Coconut,20,10,30
1544,Almond Nut,70,20,10
1545,Arecanut,100,40,140
1546,Pistachio Nut,90,20,20
1547,Lemon Grass,25,40,40
1548,Cotton,120,40,20
1549,Jute,80,40,40
1550,Coffee,100,20,30
1551,Sunflower,50,60,30
1552,Rice,80,40,40
1553,Jowar(Sorghum),80,40,40
1554,Barley(JAV),70,40,45
1555,Maize,80,40,20
1556,Ragi( naachnnii),50,40,20
1557,Chickpeas(Channa),40,60,80
1558,French Beans(Farasbi),90,125,60
1559,Fava beans (Papdi - Val),90,125,60
1560,Lima beans(Pavta),40,60,20
1561,Cluster Beans(Gavar),25,50,25
1562,Soyabean,20,60,20
1563,Black eyed beans( chawli),20,60,20
1564,Kidney beans,20,60,20
1565,pigeon peas(Toor Dal),20,60,20
1566,Moth bean(Matki),20,40,20
1567,Mung beans,20,40,20
1568,Green Peas,40,35,55
1569,Horse Gram(kulthi),20,60,20
1570,Black Gram,40,60,20
1571,Rapeseed (Mohri),50,40,20
1572,Coriander seeds,90,20,20
1573,Mustard seeds,100,30,15
1574,sesame seed,30,15,30
1575,Cumin seeds,90,60,20
1576,Lentils(Masoor Dal),20,60,20
1577,Brinjal,80,15,40
1578,Beetroot,120,50,100
1579,Bitter Gourd,60,10,20
1580,Bottle Gourd,100,50,50
1581,Capsicum,100,20,60
1582,Cabbage,100,65,70
1583,Carrot,40,45,60
1584,Cauliflower,80,70,50
1585,Cucumber,60,60,85
1586,Coriander leaves,10,20,20
1587,Curry leaves,20,20,20
1588,Drumstick – moringa,40,20,10
1589,Chili,120,20,80
1590,Lady Finger,80,10,40
1591,Mushroom,100,50,60
1592,Onion,120,60,65
1593,Potato,180,60,90
1594,Pumpkin,80,50,30
1595,Radish,25,100,50
1596,Olive,100,60,30
1597,Sweet Potato,90,20,120
1598,Fenugreek Leaf(methi),30,25,40
1599,Spinach,60,60,50
1600,Ridgegourd,90,50,20
1601,Gooseberry(Amla),20,50,20
1602,Jambun(Syzygium cumini),10,10,10
1603,Ziziphus mauritiana(Bor),20,10,10
1604,Garcinia indica(kokam),40,25,50
1605,Tamarind,20,15,25
1606,Tapioca(Suran),50,50,50
1607,Garlic,50,10,60
1608,Lemon,20,10,10
1609,Tomato,100,40,90
1610,Ash Gourd,60,10,30
1611,Pineapple,160,40,120
1612,Pomegranate,20,10,40
1613,Banana,100,75,50
1614,Mango,20,20,30
1615,Grapes,20,125,200
1616,Jackfruit,75,40,50
1617,Guava,50,50,50
1618,Water Melon,100,10,50
1619,Musk Melon,100,10,50
1620,Apricot,40,50,25
1621,Apple,20,125,200
1622,Chickoo,40,30,60
1623,Custard apple,40,20,40
1624,Dates,40,125,20
1625,Figs,20,60,20
1626,Orange,20,10,10
1627,Papaya,50,50,50
1628,Aniseed,100,50,20
1629,Asafoetida,90,40,20
1630,Bay Leaf,100,50,25
1631,Black Pepper,100,60,50
1632,Cardamom,75,75,150
1633,Cinnamon,20,20,25
1634,Cloves,20,20,60
1635,Jaiphal(Nutmeg),20,20,60
1636,Ginger,40,50,20
1637,Turmeric,25,60,100
1638,Cashewnuts,70,40,60
1639,Raisins,60,30,30
1640,Coconut,20,10,30
1641,Almond Nut,70,20,10
1642,Arecanut,100,40,140
1643,Pistachio Nut,90,20,20
1644,Lemon Grass,25,40,40
1645,Cotton,120,40,20
1646,Jute,80,40,40
1647,Coffee,100,20,30
1648,Sunflower,50,60,30
1649,Rice,80,40,40
1650,Jowar(Sorghum),80,40,40
1651,Barley(JAV),70,40,45
1652,Maize,80,40,20
1653,Ragi( naachnnii),50,40,20
1654,Chickpeas(Channa),40,60,80
1655,French Beans(Farasbi),90,125,60
1656,Fava beans (Papdi - Val),90,125,60
1657,Lima beans(Pavta),40,60,20
1658,Cluster Beans(Gavar),25,50,25
1659,Soyabean,20,60,20
1660,Black eyed beans( chawli),20,60,20
1661,Kidney beans,20,60,20
1662,pigeon peas(Toor Dal),20,60,20
1663,Moth bean(Matki),20,40,20
1664,Mung beans,20,40,20
1665,Green Peas,40,35,55
1666,Horse Gram(kulthi),20,60,20
1667,Black Gram,40,60,20
1668,Rapeseed (Mohri),50,40,20
1669,Coriander seeds,90,20,20
1670,Mustard seeds,100,30,15
1671,sesame seed,30,15,30
1672,Cumin seeds,90,60,20
1673,Lentils(Masoor Dal),20,60,20
1674,Brinjal,80,15,40
1675,Beetroot,120,50,100
1676,Bitter Gourd,60,10,20
1677,Bottle Gourd,100,50,50
1678,Capsicum,100,20,60
1679,Cabbage,100,65,70
1680,Carrot,40,45,60
1681,Cauliflower,80,70,50
1682,Cucumber,60,60,85
1683,Coriander leaves,10,20,20
1684,Curry leaves,20,20,20
1685,Drumstick – moringa,40,20,10
1686,Chili,120,20,80
1687,Lady Finger,80,10,40
1688,Mushroom,100,50,60
1689,Onion,120,60,65
1690,Potato,180,60,90
1691,Pumpkin,80,50,30
1692,Radish,25,100,50
1693,Olive,100,60,30
1694,Sweet Potato,90,20,120
1695,Fenugreek Leaf(methi),30,25,40
1696,Spinach,60,60,50
1697,Ridgegourd,90,50,20
1698,Gooseberry(Amla),20,50,20
1699,Jambun(Syzygium cumini),10,10,10
1700,Ziziphus mauritiana(Bor),20,10,10
1701,Garcinia indica(kokam),40,25,50
1702,Tamarind,20,15,25
1703,Tapioca(Suran),50,50,50
1704,Garlic,50,10,60
1705,Lemon,20,10,10
1706,Tomato,100,40,90
1707,Ash Gourd,60,10,30
1708,Pineapple,160,40,120
1709,Pomegranate,20,10,40
1710,Banana,100,75,50
1711,Mango,20,20,30
1712,Grapes,20,125,200
1713,Jackfruit,75,40,50
1714,Guava,50,50,50
1715,Water Melon,100,10,50
1716,Musk Melon,100,10,50
1717,Apricot,40,50,25
1718,Apple,20,125,200
1719,Chickoo,40,30,60
1720,Custard apple,40,20,40
1721,Dates,40,125,20
1722,Figs,20,60,20
1723,Orange,20,10,10
1724,Papaya,50,50,50
1725,Aniseed,100,50,20
1726,Asafoetida,90,40,20
1727,Bay Leaf,100,50,25
1728,Black Pepper,100,60,50
1729,Cardamom,75,75,150
1730,Cinnamon,20,20,25
1731,Cloves,20,20,60
1732,Jaiphal(Nutmeg),20,20,60
1733,Ginger,40,50,20
1734,Turmeric,25,60,100
1735,Cashewnuts,70,40,60
1736,Raisins,60,30,30
1737,Coconut,20,10,30
1738,Almond Nut,70,20,10
1739,Arecanut,100,40,140
1740,Pistachio Nut,90,20,20
1741,Lemon Grass,25,40,40
1742,Cotton,120,40,20
1743,Jute,80,40,40
1744,Coffee,100,20,30
1745,Sunflower,50,60,30
1746,Rice,80,40,40
1747,Jowar(Sorghum),80,40,40
1748,Barley(JAV),70,40,45
1749,Maize,80,40,20
1750,Ragi( naachnnii),50,40,20
1751,Chickpeas(Channa),40,60,80
1752,French Beans(Farasbi),90,125,60
1753,Fava beans (Papdi - Val),90,125,60
1754,Lima beans(Pavta),40,60,20
1755,Cluster Beans(Gavar),25,50,25
1756,Soyabean,20,60,20
1757,Black eyed beans( chawli),20,60,20
1758,Kidney beans,20,60,20
1759,pigeon peas(Toor Dal),20,60,20
1760,Moth bean(Matki),20,40,20
1761,Mung beans,20,40,20
1762,Green Peas,40,35,55
1763,Horse Gram(kulthi),20,60,20
1764,Black Gram,40,60,20
1765,Rapeseed (Mohri),50,40,20
1766,Coriander seeds,90,20,20
1767,Mustard seeds,100,30,15
1768,sesame seed,30,15,30
1769,Cumin seeds,90,60,20
1770,Lentils(Masoor Dal),20,60,20
1771,Brinjal,80,15,40
1772,Beetroot,120,50,100
1773,Bitter Gourd,60,10,20
1774,Bottle Gourd,100,50,50
1775,Capsicum,100,20,60
1776,Cabbage,100,65,70
1777,Carrot,40,45,60
1778,Cauliflower,80,70,50
1779,Cucumber,60,60,85
1780,Coriander leaves,10,20,20
1781,Curry leaves,20,20,20
1782,Drumstick – moringa,40,20,10
1783,Chili,120,20,80
1784,Lady Finger,80,10,40
1785,Mushroom,100,50,60
1786,Onion,120,60,65
1787,Potato,180,60,90
1788,Pumpkin,80,50,30
1789,Radish,25,100,50
1790,Olive,100,60,30
1791,Sweet Potato,90,20,120
1792,Fenugreek Leaf(methi),30,25,40
1793,Spinach,60,60,50
1794,Ridgegourd,90,50,20
1795,Gooseberry(Amla),20,50,20
1796,Jambun(Syzygium cumini),10,10,10
1797,Ziziphus mauritiana(Bor),20,10,10
1798,Garcinia indica(kokam),40,25,50
1799,Tamarind,20,15,25
1800,Tapioca(Suran),50,50,50
1801,Garlic,50,10,60
1802,Lemon,20,10,10
1803,Tomato,100,40,90
1804,Ash Gourd,60,10,30
1805,Pineapple,160,40,120
1806,Pomegranate,20,10,40
1807,Banana,100,75,50
1808,Mango,20,20,30
1809,Grapes,20,125,200
1810,Jackfruit,75,40,50
1811,Guava,50,50,50
1812,Water Melon,100,10,50
1813,Musk Melon,100,10,50
1814,Apricot,40,50,25
1815,Apple,20,125,200
1816,Chickoo,40,30,60
1817,Custard apple,40,20,40
1818,Dates,40,125,20
1819,Figs,20,60,20
1820,Orange,20,10,10
1821,Papaya,50,50,50
1822,Aniseed,100,50,20
1823,Asafoetida,90,40,20
1824,Bay Leaf,100,50,25
1825,Black Pepper,100,60,50
1826,Cardamom,75,75,150
1827,Cinnamon,20,20,25
1828,Cloves,20,20,60
1829,Jaiphal(Nutmeg),20,20,60
1830,Ginger,40,50,20
1831,Turmeric,25,60,100
1832,Cashewnuts,70,40,60
1833,Raisins,60,30,30
1834,Coconut,20,10,30
1835,Almond Nut,70,20,10
1836,Arecanut,100,40,140
1837,Pistachio Nut,90,20,20
1838,Lemon Grass,25,40,40
1839,Cotton,120,40,20
1840,Jute,80,40,40
1841,Coffee,100,20,30
1842,Sunflower,50,60,30
